DRG_DESC,STATE_DESC,DISCHARGES,AVERAGE_COVERED_CHARGES,AVERAGE_MEDICARE_PAYMENTS,AVERAGE_MEDICARE_REIMBURSEMENT
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MD,14,333186.4286,306971.5714,304965
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MS,15,786193.7333,226744.7333,213755.0667
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OR,16,699578.6875,286758.6875,233192.6875
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,KS,20,726224.5,179502,148888.05
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,UT,20,575736.15,217007.65,181247.95
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IA,23,831710.2174,219463.3044,203853.6522
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,LA,27,891297.3333,235583,206010.2222
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,SC,29,917401.8966,241808.5172,186612.7241
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,WI,29,947527.6207,246220.8966,213259.069
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CO,30,1131275.567,228286.4667,213451.7
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NJ,34,1151502.824,233169.7647,207824.2353
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OK,36,1110637.306,203186.8889,193266.5
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AR,37,700184.0541,179553.4865,146707
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CT,39,795294.6667,255351,229607.2821
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,DC,39,974837.4615,225802.1795,204199.5641
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IN,43,1020648.07,209515.9767,202041.0233
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,WA,48,788113.3958,275781.9375,227128.7083
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NE,49,793861.3061,237339.6939,199041.5102
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,KY,50,808890.5,206043.14,195783.32
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MI,54,703992.963,249563.4074,212734.3148
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AZ,55,677804.1818,231744.4,190350.1818
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,GA,70,943941.8714,243582.7,213170.0571
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OH,71,919145.6901,246800.5493,198429.8732
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,TN,71,884622.5352,191167.7324,174958.0282
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MO,77,788329.1299,212123.5584,200675.3766
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MN,84,863843.6786,308814.3571,238254.7381
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,VA,87,1131572.126,278977.3793,224716.954
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MA,89,994772.0787,328990.5843,302663.0674
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IL,109,1109186.395,281238.4771,234193.0917
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NC,118,822216.3983,236383.5593,201692.9153
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,PA,132,1568234.424,270130.0682,226521.8864
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,FL,135,1167464.074,241916.4222,204326.7037
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NY,169,1383017.657,349815.6686,306285.6509
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CA,222,1879842.095,357046.8559,326443.7838
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,TX,256,1018187.328,231235.0391,190854.1367
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,CA,11,952894.2727,176932.9091,167806.6364
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,NC,11,483388.1818,154825.1818,105184.0909
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,NJ,11,649133.0909,151508,122483.5455
