Feature,Importance,Model,QualityStarCluster
COVERED_CHARGES_NATIONAL_SCORE_DRG291,0.010486332724034842,GBT,All
COVERED_CHARGES_NATIONAL_SCORE_DRG871,0.006243579873093802,GBT,All
MEDICARE_PAYMENTS_STATE_SCORE_DRG871,0.0075383953782448354,GBT,All
MEDICARE_REIMBURSEMENT_NATIONAL_SCORE_DRG871,0.011585774208002315,GBT,All
MEDICARE_REIMBURSEMENT_STATE_SCORE_DRG871,0.0010826600834450383,GBT,All
OPPS_Beneficiaries_Perc,0.003504230049619914,GBT,All
OPPS_Comprehensive_APC_Services_Perc,0.0024966245411172185,GBT,All
OPPS_Medicare_Allowed_Amount_STATE_SCORE,0.013931353304278488,GBT,All
OPPS_Medicare_Payment_Amount_STATE_SCORE,0.007873288325370322,GBT,All
OPPS_Total_Submitted_Charges_NATIONAL_SCORE,0.025540898986134368,GBT,All
accounts_receivable,0.002773863612772089,GBT,All
admin_cost_share,0.012959650895677969,GBT,All
admin_costs,0.002636090351165477,GBT,All
adult_peds_beds,0.014869891486997064,GBT,All
allowances_discounts,0.018387408602074974,GBT,All
any_home_office_costs_Y,0.00014081523557020183,GBT,All
capasset_bldngsfixtrs_beginning,0.0013725675381552403,GBT,All
capasset_bldngsfixtrs_end10only,0.0066543850036363825,GBT,All
capasset_subtotal_beginning,0.000916464926080827,GBT,All
capasset_subtotal_end10only,0.00013170295360908098,GBT,All
capasset_total_beginning,0.0008116680362114612,GBT,All
capasset_total_end10only,0.0,GBT,All
cbsa_ind,0.007182726960603314,GBT,All
charity_uncomp_expnsshr_only10,0.018568641470313656,GBT,All
charityun_uncomp_expnsshr_only10,0.027073519634499412,GBT,All
chgs_charity_patients_only10,0.017504860196082207,GBT,All
chow_cnt,0.004955511759117371,GBT,All
commercial_charges_est,0.0060288827906628826,GBT,All
commercial_rev_est,0.005239007059603798,GBT,All
commercial_to_mdcr_est,0.17698863578741095,GBT,All
cost_to_charge_ratio_for_uncomp,0.05454984588058384,GBT,All
critical_access_hosp_hcr_Y,0.015756951000531566,GBT,All
days_in_gross_accounts_recvable,0.01348804776108251,GBT,All
days_in_net_accounts_receivable,0.012915040669183914,GBT,All
equity_financing,0.01944327150353062,GBT,All
expenses_other,0.007652832796452869,GBT,All
expns_admin_and_general_other,0.009469263089493507,GBT,All
expns_anc_oper_room_salary,0.0026746654827597503,GBT,All
expns_anc_resp_therapy_salary,0.004599136726358305,GBT,All
expns_housekeeping_other,0.007494250558901569,GBT,All
expns_outp_emergency_salary,0.004387566744526429,GBT,All
gross_patient_rev,0.0003840563283775788,GBT,All
gross_patient_rev_outpat,0.0016118899079265849,GBT,All
in_compendium,0.0,GBT,All
inpat_charges_devices_chgd,0.008138827370333872,GBT,All
inpat_charges_lab,0.014805669465163705,GBT,All
inpat_charges_oper_room,0.0075686402684067774,GBT,All
